condition,RBF_UCB,BMT_UCB,RBF_GM,RBF_epsilonGreedy
control,0.9771685113676545,0.014631711611019197,0.004289180213549676,0.003910596807776624
PD+,0.994803048416205,0.004989250364375876,0.00019718237788133404,1.0518841537758447e-05
PD-,0.9924417947288944,0.003242653255149907,0.002039587125029177,0.002275964890926494
