"","","","par1","par2","par3"
"cv",2,95.3755387583472,-0.0994353460567766,-0.940234163875314,1.5076778183171
"cv",3,103.863541192176,-0.0885796140262659,-0.930771169379138,1.39296102060426
"cv",4,106.699605643125,-0.270608489241642,-0.989519126167076,1.3907008452461
"cv",5,84.4641872807507,-2.12268410719883,-1.16093285453557,2.00005943878966
"cv",6,106.837159390419,-0.0977118163252587,-0.931248968498089,1.35721475506891
"cv",7,100.95959780075,-0.100240744762265,-0.938211462707314,1.42996535147509
"cv",8,98.0671643944776,-0.302545642231936,-1.01811445240537,1.54568792474958
"cv",9,106.837649865173,-0.0906677421170487,-0.926767256300311,1.3570972705639
