"","","","par1","par2","par3"
"cv",2,63.8217223166795,1.71040845709419,-2.12412658454481,-3.76400272857569
"cv",3,69.2538080436986,1.27725309249352,-2.09461957994803,-3.32448730149163
"cv",4,103.452029489627,1.27162972031659,-2.52853544238202,-3.17272376899381
"cv",5,49.5077323212878,1.36777667203779,-2.25738956839172,-3.30111384766377
"cv",6,87.5528990647118,1.30199347116261,-1.83147570810664,-3.51812849390629
"cv",7,99.0207288936526,1.33078749458224,-2.25998497864139,-3.30089359466652
"cv",8,55.6029050362123,1.37639346312641,-2.01148898874046,-3.6050654904195
"cv",9,33.9946309822301,1.32395254024338,-2.12686036578148,-3.33573358906254
