"","","","par1","par2","par3"
"cv",2,98.0362999667821,-0.382953515443508,2.72992825133885,0.792586479059041
"cv",3,99.0446494677848,-0.241492879840663,3.99736887518067,2.04421485214733
"cv",4,97.9388132837285,-0.394487228388313,2.14915264460567,0.186800424129855
"cv",5,99.1923427141628,-0.339290581299571,2.97519292231437,1.1117783961479
"cv",6,96.5198894610701,-0.466768312819962,1.84340774175889,-0.186927800422949
"cv",7,97.6306383855269,-0.277951100230925,3.99120977112113,1.95632585612274
"cv",8,96.1203453052596,-0.27853473476093,3.99996631741069,1.99235727517998
"cv",9,98.8902025323325,-0.287827035327113,3.99992942372504,1.76754016862923
