"","","","par1","par2"
"cv",2,118.898923847394,0.231921860054311,-2.30979217086508
"cv",3,111.820547655396,0.163644902714438,-2.28071502776744
"cv",4,75.3002911932539,0.173288341477314,-2.22349681267093
"cv",5,111.953344327512,0.181031306304576,-2.29354469572807
"cv",6,45.8158634694684,0.269941674614031,-2.18498099065002
"cv",7,82.5937495922067,0.222365516208208,-2.21405741101176
"cv",8,42.6569950015545,0.157337012429602,-2.15620605593893
"cv",9,48.2505804249866,0.235601814622581,-2.17953961573194
