"","","","par1","par2","par3"
"cv",2,104.596679079923,-2.17883500643075,0.37849982993378,3.67699841517791
"cv",3,103.740157951313,-1.71078049135394,0.405098498962685,3.03623310421624
"cv",4,104.772708897272,-4.16314329977762,1.42465331571242,3.42517455129632
"cv",5,103.648872484014,0.687569975553038,2.90070728140527,3.4080931724602
"cv",6,105.618028777388,-4.98131322581321,-0.0468013647478074,2.68745743311066
"cv",7,102.327873925999,2.90177264530212,1.13935387390159,3.0139859928582
"cv",8,104.623729972644,1.89688334823847,1.35012537248805,3.63405769534409
"cv",9,104.943067195567,1.84120590232655,3.053846503382,3.22883216313708
