"","","","par1","par2","par3"
"cv",2,95.5482615037918,2.13731814339721,-0.997523240609978,-4.99957919177721
"cv",3,99.8470456894535,-4.99999999979461,-1.73128092335151,-2.50788432146794
"cv",4,99.8086531982851,-4.99999995161707,-1.68603123626383,-2.56432485043468
"cv",5,101.385013119714,-4.99999854760415,-1.75012630706683,-2.53791758182855
"cv",6,108.990356392863,-4.99999984912964,-1.70614386859903,-2.8693024234885
"cv",7,99.0822841686884,-4.99999961976246,-1.71956755409604,-2.49551066789759
"cv",8,98.5907056033178,1.86393782150354,-1.03472430209466,-4.67873172198475
"cv",9,100.494672989874,-4.99999900082106,-1.56842162984849,-2.28207805087537
