"","","","par1","par2","par3"
"cv",2,101.567563357606,-0.534622336386084,-2.54809368911489,1.18590285518872
"cv",3,95.4428171380001,-4.42989365482592,-4.21038440026538,1.27250797722443
"cv",4,100.924869422996,-1.27445722271311,-2.7933276739551,1.44751440079449
"cv",5,95.4502542746366,-1.47201687251036,-3.7259604261476,1.26265390931847
"cv",6,92.4966321906021,-0.760889491230075,-3.09875069979545,1.21399742547834
"cv",7,86.9065078616063,-2.90100440452679,-2.704910222589,1.39476331311052
"cv",8,92.5119009844473,-3.75877318503404,-3.03147854422689,1.30719758183004
"cv",9,95.3737169717703,0.211475083588767,-2.14366433565484,1.49112609731331
