"","","","par1","par2","par3"
"cv",2,90.6016436160898,-0.694144513615484,-1.19988754929026,-3.58125565615904
"cv",3,82.8468451626162,-0.684122256111097,-1.23362958660361,-3.4292116582231
"cv",4,10.0147194819737,-0.631866484934179,-1.2585597026311,-3.33379675815157
"cv",5,46.1559609657198,-0.657082492054306,-1.21523475572162,-3.46020195021555
"cv",6,88.6308409757634,-0.618287616315924,-1.22041522992682,-3.46508865522797
"cv",7,91.2669632579321,-0.712788161394373,-1.1418413140711,-3.59684220418987
"cv",8,32.337165980636,-0.655371470798461,-1.227497271652,-3.43002604401029
"cv",9,68.5560151960211,-0.674575093680645,-1.23296428254879,-3.50332955652118
