"","","","par1","par2","par3"
"cv",2,91.9428882430284,-0.908065731329892,-0.700922584688785,-3.90789586892933
"cv",3,94.2816092426239,-0.915123327157421,-0.70496982993156,-3.99652085763264
"cv",4,106.875469505491,-0.90517779739544,-0.703363968398676,-4.03981276782635
"cv",5,124.607481150426,-1.06872536635774,-0.584315516839887,-4.99999962139866
"cv",6,95.8004660850668,-0.918472703339317,-0.69704769121485,-4.0793178404708
"cv",7,106.66486181838,-0.904401305566557,-0.700957756861637,-4.16463558203914
"cv",8,89.5791949251753,-0.976243818849002,-0.719028553808815,-4.09614773321455
"cv",9,112.206138613964,-0.89196878317466,-0.698472359986226,-4.13214890412752
