"","","","par1","par2","par3"
"cv",2,100.644927608237,-0.422187150823405,1.61297617737083,2.75691941077022
"cv",3,103.904468514911,-0.37813811419284,0.857810493592673,2.73481781507218
"cv",4,105.983227515961,-0.396312045044322,1.43604487287512,2.47967626981293
"cv",5,105.789045933718,-0.37344289883116,0.859187307818607,2.58514672036809
"cv",6,102.261338780219,-0.427019664356353,1.55345692569422,2.66271620156806
"cv",7,104.043062771329,-0.429975150162094,1.53117434869837,2.56795013556971
"cv",8,103.887653418345,-0.533153833032372,2.23053863761126,2.75874880522949
"cv",9,104.044956902669,-0.509013113811219,2.06477533345642,2.56595946635486
