"","","","par1","par2"
"cv",2,68.270760719777,-0.452479787141395,-2.1056531386747
"cv",3,49.7308832226798,-0.268747968421144,-2.08464746057481
"cv",4,128.5495627203,-0.383341187539163,-2.26630239016924
"cv",5,40.6021372599976,-0.49785446694709,-2.02734401598735
"cv",6,110.420821995084,-0.352338370969208,-2.19040280978371
"cv",7,41.8440999564111,-0.395457757335663,-2.05221782585324
"cv",8,132.595116477139,-0.433171415400767,-2.2773496754069
"cv",9,116.021840843119,-0.36226624054525,-2.2116435490618
