"","","","par1","par2","par3"
"cv",2,38.6688411533501,-3.89142149420532,-3.6617818825995,-1.25414837628695
"cv",3,38.6778066226573,-2.72528857179639,-2.58603627417953,-1.26993073003558
"cv",4,54.9654209310959,-1.27054000479087,-3.99170489742237,-1.26659011255063
"cv",5,33.2530506336448,-2.92992394915263,-2.22152231819599,-1.25054246351458
"cv",6,44.1686555005448,-3.63261521984427,-2.51967520136381,-1.3044757050295
"cv",7,140.664512095636,-2.38819443506375,-1.53492716656344,-1.20574087491364
"cv",8,33.2632022700774,-2.39278805769613,-2.69197869523727,-1.23093569428579
"cv",9,22.655651093011,-4.37542867600494,-3.08159025658769,-1.16372496169329
