"","","","par1","par2","par3"
"cv",2,104.365296996831,1.08897093357518,2.97665492326418,4.14438736746713
"cv",3,104.397405882231,-3.29978033448359,-0.143560320926237,4.06524995487581
"cv",4,104.153993564214,-4.01899064514696,0.0869854453782157,2.46067871254459
"cv",5,102.555267033093,0.185604714322835,2.72287440702015,3.48496345700654
"cv",6,105.176933897138,3.47517323565739,2.04071318327775,3.00832117919783
"cv",7,104.611369019166,-1.20065675173352,0.0425894946534381,3.65345680641182
"cv",8,105.990855971692,-3.49583511753008,1.17682430311106,2.47573574641347
"cv",9,103.642062491641,-1.40471801704213,2.43001498009613,3.47353827485561
