"","","","par1","par2","par3"
"cv",2,67.6117209640874,-0.191928546611123,-1.12639994863956,0.392181738211884
"cv",3,97.5805673790188,-0.209492850948361,-1.17324783728145,0.461884301067103
"cv",4,104.845734958841,-0.56440643115546,-0.936287196452901,0.488592055288846
"cv",5,61.3193157249126,-0.37508899204021,-1.18875363840617,0.63681241879362
"cv",6,98.1128092071418,-0.190348488020214,-1.13212571271735,0.357332873937073
"cv",7,61.5585568897283,-0.327620658718273,-1.18977370352348,0.676527643901946
"cv",8,105.878842703294,-0.095422665653754,-1.1500261499982,0.341293416628378
"cv",9,106.968513497948,-0.196612632067863,-1.13462630756442,0.202851537027158
