"","","","par1","par2","par3"
"cv",2,100.609420613871,2.00755757976636,-1.3434721566045,-4.99966648391559
"cv",3,77.5579546651875,2.05626802533366,-1.31967925972481,-4.99980389105529
"cv",4,73.2185661502883,1.9785962043026,-1.22109724702959,-4.99983761236636
"cv",5,109.932893892156,1.86828294843615,-1.3310739030896,-4.99750197491663
"cv",6,101.116576797117,2.01566140820666,-1.34669691961971,-4.99999684769834
"cv",7,99.6925803540356,2.02647820588226,-1.34304547506499,-4.99999831361792
"cv",8,99.0227969369238,2.02410124945734,-1.33950892944067,-4.99999658667548
"cv",9,98.565417441291,1.99701823445413,-1.33356543051069,-4.99999957323243
