"","","","par1","par2","par3"
"cv",2,106.248962160284,2.50524085366696,-4.95592584182996,-4.99999088422748
"cv",3,107.51339006222,2.49891720438121,-4.94347835476568,-4.99999763909185
"cv",4,101.738055396695,2.50918945984092,-4.96385451677201,-4.99999154681496
"cv",5,85.4132541480619,2.51144114466686,-4.92747540639258,-4.99999924852072
"cv",6,73.3106195914765,2.54646434224279,-4.9999561204055,-4.99999430484641
"cv",7,92.0503723470353,2.51871390537839,-4.98248930927771,-4.99999346419016
"cv",8,53.7525549200393,2.55825958056284,-4.99995837571003,-4.99999888924722
"cv",9,132.700877975398,2.25321830155294,-1.72642705792237,-4.999992623258
