"","","","par1","par2","par3"
"cv",2,106.767340427287,1.64446757777601,-1.0773251038709,1.37407586751073
"cv",3,95.373001628269,-4.461633136086,-1.69640332606217,1.47951244051466
"cv",4,83.4981816742146,1.76834465647227,-1.15370731352469,1.83441636105309
"cv",5,88.0935107107524,-4.58362067421395,-1.6616489122731,1.770654314506
"cv",6,106.190903528564,-1.8677570191212,-1.54780149365345,1.52512075470732
"cv",7,84.7134771111021,-4.09656120364818,-1.65294133995523,1.56211064739779
"cv",8,104.283303850155,-0.773959014456734,-1.52357554704785,1.26734302830085
"cv",9,106.970127533138,3.44653833064565,-1.06827222989549,1.32583932439771
