"","","","par1","par2","par3"
"cv",2,98.7024645148752,-4.99999802999791,-1.4703353425171,-2.27546767672227
"cv",3,99.0716951290609,-4.99999856740627,-1.4850102729681,-2.29492496550287
"cv",4,106.510114246165,-4.99999815034009,-1.51901151143814,-3.52199203201619
"cv",5,129.281573493274,3.09348943969235,3.09072088659741,-2.74082558369264
"cv",6,98.6753424549005,-4.99999998234713,-1.46254871930743,-2.24051014860957
"cv",7,99.0760811381205,-4.99999816734725,-1.48588057591697,-2.29967985868225
"cv",8,103.22510401687,-4.99921504841265,-1.53696264415116,-3.90695936837761
"cv",9,98.4913878720556,-4.99998195429254,-1.452199734534,-2.21977273662445
