"","","","par1","par2","par3"
"cv",2,104.738527987485,-2.00810335282669,3.69912700330139,3.46949227954115
"cv",3,104.9688932792,0.612992420097826,0.658358305479297,3.20206214288775
"cv",4,104.420964873434,3.24721508701404,0.970114134277312,4.01086697039449
"cv",5,105.092921152113,3.62848614136117,3.41428977025675,3.08229315842681
"cv",6,104.849561172459,-4.49553114149121,3.70187892183034,3.33197126834533
"cv",7,102.667320354211,-4.19204184725614,-0.902652034986731,3.67105519831099
"cv",8,105.09553114047,3.54589028033006,-0.691126831704752,3.07991468328983
"cv",9,105.195375049994,-1.71940829106474,2.45556013453694,2.99275964132261
