"","","","par1","par2","par3"
"cv",2,48.8821004302788,-0.599872450528851,-1.69755746778304,-0.575709279593819
"cv",3,73.294052006182,-0.522283535845397,-1.67162822089363,-0.729054618776931
"cv",4,78.1019370035431,-1.8683468127439,-1.29829575237333,-0.714231530887974
"cv",5,44.2151891886472,-0.612698884104471,-1.56626907890113,-0.53654225606796
"cv",6,39.4716933617463,-0.606981690489657,-1.54563723009242,-0.549463676632205
"cv",7,44.2123478494975,-0.547590667608449,-1.7766853218796,-0.537922937879143
"cv",8,53.6427099154743,-0.613865678596987,-1.66067214224962,-0.632987292227112
"cv",9,53.630340252704,-0.55550239385428,-1.71193066534406,-0.599316680275124
