"","","","par1","par2","par3"
"cv",2,104.802945945251,3.52743588497862,-0.433537133185457,3.38749573012739
"cv",3,103.686586384709,-2.48832306917245,1.35982908300018,4.3202577251941
"cv",4,104.334349947817,-4.51653032722001,1.96929943725725,4.22697920178773
"cv",5,105.246749255793,-1.78511956858821,0.499717491045595,2.95058503910899
"cv",6,103.679709489442,3.88893620174561,0.516857900025368,3.23202129756838
"cv",7,103.636916438895,0.623942387890382,-0.734649966623435,3.54849723845787
"cv",8,104.793852720096,3.7312526360705,1.95151965514222,3.39868316149988
"cv",9,104.944000204054,0.0018477572332749,0.585467541380187,3.22785295985932
