"","","","par1","par2"
"cv",2,105.678638806924,0.199290084807761,-1.09725689113031
"cv",3,101.798550333663,0.111850304372309,-0.946130061627782
"cv",4,100.014950099676,0.230407915117788,-0.654135994001909
"cv",5,102.234517718874,0.19986922008827,-0.915209780232255
"cv",6,102.546019058437,0.153829543618752,-0.971302407285311
"cv",7,106.601096771748,0.177000512704032,-1.17540737597376
"cv",8,105.013389813412,0.23789493513012,-1.04081688338166
"cv",9,102.994421606007,0.236552011740374,-1.01160217550003
