"","","","par1","par2"
"cv",2,11.3673150433916,-0.104401089167486,-2.82281999797132
"cv",3,64.8840610051768,-0.102606860283133,-2.88725410735069
"cv",4,32.60296358846,-0.19719448545046,-2.8268041607187
"cv",5,59.6210919844928,-0.036601503558681,-2.87759093062785
"cv",6,13.0120503049559,-0.190115053511898,-2.80577477071095
"cv",7,97.4482997944852,-0.128193605847884,-2.81651349082604
"cv",8,44.0784535810033,-0.101738286881053,-2.86182482380801
"cv",9,20.1950774425579,-0.06774064379743,-2.78587399507523
