condition,RBF_UCB,BMT_UCB,RBF_GM,RBF_epsilonGreedy
control,0.9876880012548095,0.008682635416858764,0.0019243327629998273,0.001705030565332003
PD+,0.994803048416205,0.004989250364375876,0.00019718237788133404,1.0518841537758447e-05
PD-,0.9980734814835814,0.0008966491942614964,0.0004721737703890514,0.0005576955517679408
