"id","nLL","kernel","acq","R2","kError","lambda","beta","tau","epsilon"
1102,768.260105027981,"RBF","GM",0.0763624636360808,NA,1.24085879685062,NA,0.158048543414137,NA
111,760.601250557209,"RBF","GM",0.0855702897726427,NA,1.43559491652812,NA,0.161992720989258,NA
115,832.035292727,"RBF","GM",-0.000310992218199857,NA,2.3946192696131,NA,33.7080294010319,NA
1154,649.38611723151,"RBF","GM",0.219278224206634,NA,1.15367978472888,NA,0.10748033498961,NA
1155,672.456438218927,"RBF","GM",0.191542026139748,NA,1.14082235378574,NA,0.112644619621108,NA
1164,816.420662320213,"RBF","GM",0.018461632659455,NA,1.28677751771857,NA,0.295361603915734,NA
117,509.542105870859,"RBF","GM",0.38740510894666,NA,1.10358406896139,NA,0.0859903660615784,NA
1175,630.732695245163,"RBF","GM",0.241704223702728,NA,1.2053662080294,NA,0.108034763134555,NA
1176,827.610975988198,"RBF","GM",0.00500812429712649,NA,29.8448938531621,NA,0.453369245641103,NA
1194,786.975627997847,"RBF","GM",0.0538618034891902,NA,1.25194562494101,NA,0.179836694171524,NA
1196,689.716857687364,"RBF","GM",0.170790758164101,NA,1.13717492631527,NA,0.127718433799038,NA
1214,787.745298590822,"RBF","GM",0.0529364701995213,NA,1.39273685441161,NA,0.203710590518179,NA
1215,783.862850317739,"RBF","GM",0.0576041275912585,NA,1.16733285923618,NA,0.171405937234791,NA
1224,823.841226383096,"RBF","GM",0.0095402901810212,NA,11.6369816619071,NA,0.380501563971009,NA
1260,808.662357241831,"RBF","GM",0.0277890228780254,NA,1.33079258323653,NA,0.225694071954864,NA
1266,832.196792339018,"RBF","GM",-0.00050515445933641,NA,4.05888462791628,NA,1.40855888093309,NA
1288,688.035223194507,"RBF","GM",0.172812496283627,NA,0.67634484503338,NA,0.116736788760335,NA
1300,543.979101526142,"RBF","GM",0.346003373234167,NA,1.20161769529826,NA,0.0793701600638204,NA
1312,832.211634975938,"RBF","GM",-0.000522998958234933,NA,5.45618990679295,NA,1.76617011118523,NA
1319,812.222294389199,"RBF","GM",0.0235091031543729,NA,1.40833046764123,NA,0.192628189632793,NA
1325,787.708129963778,"RBF","GM",0.0529811560277815,NA,1.36523118608322,NA,0.21686521505857,NA
1326,658.437524008495,"RBF","GM",0.208396207814781,NA,1.27901634794122,NA,0.114421420784295,NA
