"id","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","epsilon","roundnLL"
115,2,832.035280320564,-0.000310977302613535,"RBF","GM",NA,2.16607951977375,NA,10.5769180056837,NA,104.007068749443
115,3,832.035280320564,-0.000310977302613535,"RBF","GM",NA,2.4159849889189,NA,48.4445769837283,NA,103.969338321272
115,4,832.035280320564,-0.000310977302613535,"RBF","GM",NA,2.52455150062197,NA,54.5981500324989,NA,103.959065256656
115,5,832.035280320564,-0.000310977302613535,"RBF","GM",NA,2.29123415014995,NA,54.5981495522339,NA,103.96902423847
115,6,832.035280320564,-0.000310977302613535,"RBF","GM",NA,2.30856057562568,NA,11.6220016776473,NA,104.000070939422
115,7,832.035280320564,-0.000310977302613535,"RBF","GM",NA,2.66014511093148,NA,54.5981461451522,NA,103.963187247359
115,8,832.035280320564,-0.000310977302613535,"RBF","GM",NA,2.4352517429465,NA,5.39348453454954,NA,104.198082799493
115,9,832.035280320564,-0.000310977302613535,"RBF","GM",NA,2.35438427950123,NA,29.8383286488843,NA,103.969442768449
117,2,509.54211040385,0.38740510349689,"RBF","GM",NA,1.09191105738221,NA,0.0850435494674478,NA,50.5575788973592
117,3,509.54211040385,0.38740510349689,"RBF","GM",NA,1.11534023411708,NA,0.0864265584862834,NA,65.3917486869455
117,4,509.54211040385,0.38740510349689,"RBF","GM",NA,1.10820196458766,NA,0.0823671228369651,NA,98.2425627624489
117,5,509.54211040385,0.38740510349689,"RBF","GM",NA,1.10930247684041,NA,0.0877722765462367,NA,44.715780878641
117,6,509.54211040385,0.38740510349689,"RBF","GM",NA,1.09395273124982,NA,0.0852158189830873,NA,82.3863039949299
117,7,509.54211040385,0.38740510349689,"RBF","GM",NA,1.10936766573402,NA,0.0840800405533586,NA,98.7675638731036
117,8,509.54211040385,0.38740510349689,"RBF","GM",NA,1.10441462145298,NA,0.0870679119004565,NA,38.6401463452376
117,9,509.54211040385,0.38740510349689,"RBF","GM",NA,1.09618289562252,NA,0.0899496530285813,NA,30.8404249651847
168,2,771.206822588863,0.0728197846260935,"RBF","GM",NA,1.35517942639864,NA,0.133740550822585,NA,129.443517644988
168,3,771.206822588863,0.0728197846260935,"RBF","GM",NA,1.27115738164775,NA,0.176888391998001,NA,79.4855610031027
168,4,771.206822588863,0.0728197846260935,"RBF","GM",NA,1.23486853528248,NA,0.16716212315649,NA,86.1045371493806
168,5,771.206822588863,0.0728197846260935,"RBF","GM",NA,1.11256132498767,NA,0.155714342354549,NA,88.6752082278185
168,6,771.206822588863,0.0728197846260935,"RBF","GM",NA,1.21196077700113,NA,0.160550631770333,NA,99.3913574246947
168,7,771.206822588863,0.0728197846260935,"RBF","GM",NA,1.31765235640061,NA,0.16205263692881,NA,102.762489544494
168,8,771.206822588863,0.0728197846260935,"RBF","GM",NA,1.24623238871483,NA,0.166094765697693,NA,83.7451648481149
168,9,771.206822588863,0.0728197846260935,"RBF","GM",NA,1.18152924609347,NA,0.155305864742038,NA,101.59898674627
212,2,769.813370815451,0.0744950562621102,"RBF","GM",NA,1.18615308112376,NA,0.147370051897347,NA,90.1908025886525
212,3,769.813370815451,0.0744950562621102,"RBF","GM",NA,1.1776614279817,NA,0.142470089547402,NA,98.0973005036948
212,4,769.813370815451,0.0744950562621102,"RBF","GM",NA,1.19592925476172,NA,0.159673704316006,NA,88.7948042722995
212,5,769.813370815451,0.0744950562621102,"RBF","GM",NA,1.20994422592686,NA,0.144939636483437,NA,98.5156309713351
212,6,769.813370815451,0.0744950562621102,"RBF","GM",NA,1.18673564431735,NA,0.149493323157415,NA,88.0416355512749
212,7,769.813370815451,0.0744950562621102,"RBF","GM",NA,1.18623862020033,NA,0.130536984754972,NA,116.530226938037
212,8,769.813370815451,0.0744950562621102,"RBF","GM",NA,1.20210028074248,NA,0.151423386512328,NA,91.5881581306469
212,9,769.813370815451,0.0744950562621102,"RBF","GM",NA,1.18915227680237,NA,0.145965402343692,NA,98.0548118595103
227,2,814.072427773782,0.021284787938605,"RBF","GM",NA,1.13026370141262,NA,0.257125105974169,NA,101.892919792485
227,3,814.072427773782,0.021284787938605,"RBF","GM",NA,1.1441403086908,NA,0.260260806911299,NA,103.461905303627
227,4,814.072427773782,0.021284787938605,"RBF","GM",NA,1.11746366916625,NA,0.289501585111824,NA,96.9161458246924
227,5,814.072427773782,0.021284787938605,"RBF","GM",NA,1.12903630886115,NA,0.252559274451321,NA,101.103384936722
227,6,814.072427773782,0.021284787938605,"RBF","GM",NA,1.1366242802659,NA,0.279161059253178,NA,99.1596347922375
227,7,814.072427773782,0.021284787938605,"RBF","GM",NA,1.18673852246842,NA,0.242244613693117,NA,104.341599666537
227,8,814.072427773782,0.021284787938605,"RBF","GM",NA,1.18893732153969,NA,0.260400878855366,NA,103.034582058342
227,9,814.072427773782,0.021284787938605,"RBF","GM",NA,1.1025465327554,NA,0.234147604345354,NA,104.162255399139
250,2,721.565339459157,0.13250105257076,"RBF","GM",NA,1.24977164401989,NA,0.13287052983886,NA,96.8020518679576
250,3,721.565339459157,0.13250105257076,"RBF","GM",NA,1.33503889221465,NA,0.132542469917265,NA,81.3274063599656
250,4,721.565339459157,0.13250105257076,"RBF","GM",NA,1.36245127202393,NA,0.135031568825699,NA,91.4597399950915
250,5,721.565339459157,0.13250105257076,"RBF","GM",NA,1.31990300673876,NA,0.136425607621565,NA,74.329472655843
250,6,721.565339459157,0.13250105257076,"RBF","GM",NA,1.24968249191827,NA,0.128553901686433,NA,91.7116687942527
