"lambda","beta","tau","mu","replication"
0.204413870080183,0.126856491916401,0.00673794699908547,33.6777073344838,1
0.204413870080183,0.126856491916401,0.00673794699908547,29.8529609465338,2
0.204413870080183,0.126856491916401,0.00673794699908547,36.8735561883487,3
0.204413870080183,0.126856491916401,0.00673794699908547,36.9582338883032,4
0.204413870080183,0.126856491916401,0.00673794699908547,50,5
0.204413870080183,0.126856491916401,0.00673794699908547,36.0720066389164,6
0.204413870080183,0.126856491916401,0.00673794699908547,46.8660688583026,7
0.204413870080183,0.126856491916401,0.00673794699908547,27.9560004357313,8
0.204413870080183,0.126856491916401,0.00673794699908547,34.3302287154077,9
0.204413870080183,0.126856491916401,0.00673794699908547,39.7031576647737,10
0.333562290169942,0.126856491916401,0.00673794699908547,45.5470639410883,1
0.333562290169942,0.126856491916401,0.00673794699908547,37.6649376243191,2
0.333562290169942,0.126856491916401,0.00673794699908547,41.2391238915619,3
0.333562290169942,0.126856491916401,0.00673794699908547,22.2025054932682,4
0.333562290169942,0.126856491916401,0.00673794699908547,38.5951058102401,5
0.333562290169942,0.126856491916401,0.00673794699908547,34.1859651623555,6
0.333562290169942,0.126856491916401,0.00673794699908547,42.0065449257252,7
0.333562290169942,0.126856491916401,0.00673794699908547,35.5544581064306,8
0.333562290169942,0.126856491916401,0.00673794699908547,32.3983435612168,9
0.333562290169942,0.126856491916401,0.00673794699908547,41.8590401496256,10
0.544306515892354,0.126856491916401,0.00673794699908547,35.457446441097,1
0.544306515892354,0.126856491916401,0.00673794699908547,34.7202336739457,2
0.544306515892354,0.126856491916401,0.00673794699908547,45.2871186205439,3
0.544306515892354,0.126856491916401,0.00673794699908547,35.6393735295052,4
0.544306515892354,0.126856491916401,0.00673794699908547,34.0803004081045,5
0.544306515892354,0.126856491916401,0.00673794699908547,37.8503479725042,6
0.544306515892354,0.126856491916401,0.00673794699908547,31.8212433686656,7
0.544306515892354,0.126856491916401,0.00673794699908547,46.5619042176478,8
0.544306515892354,0.126856491916401,0.00673794699908547,44.1480810649857,9
0.544306515892354,0.126856491916401,0.00673794699908547,28.5346799474553,10
0.88819867225378,0.126856491916401,0.00673794699908547,41.4260693996631,1
0.88819867225378,0.126856491916401,0.00673794699908547,48.6569585967313,2
