"","","","par1","par2","par3"
"cv",2,10.7454874954908,-0.30300334787751,-2.70552700666582,-2.95087542908569
"cv",3,65.2847860591783,-0.268800775994416,-2.65011157891574,-3.02371661559787
"cv",4,32.9486866325421,-0.345075891470628,-2.75622203573307,-2.96202741213704
"cv",5,59.05539214006,-0.236727756642639,-2.64964821007647,-2.99660905066444
"cv",6,14.0709976334094,-0.354269083108886,-2.67728651283809,-2.94401247509987
"cv",7,97.3014653824465,-0.39570010566681,-2.30514977279166,-3.02928468143708
"cv",8,41.3354945295606,-0.285936855117065,-2.78285190443686,-2.96246987093602
"cv",9,20.6152404374663,-0.268695701239099,-2.62023727977707,-2.91569862847873
