"","","","par1","par2"
"cv",2,102.604908235021,-1.66019055092571,0.888965811803847
"cv",3,102.389130580266,-1.66016601635852,1.02048212584476
"cv",4,105.629595012364,-1.64086269176173,0.344026983442734
"cv",5,104.061633578237,-1.64059226449103,0.533069468572169
"cv",6,102.389130777252,-1.66083831501704,1.02048226908188
"cv",7,103.959042789777,-1.6405699762173,0.547127826604909
"cv",8,108.723847337186,-4.03195761208265,0.124308130156287
"cv",9,103.032425727922,-1.66073312416673,0.741834005175196
