"","","","par1","par2"
"cv",2,102.073162758585,-1.62148307411446,0.807330523218774
"cv",3,112.372350598507,-1.66032175837391,-0.124560935284703
"cv",4,102.805898336063,-2.66449942439795,0.591089144173544
"cv",5,104.883472861662,-1.62158545384119,0.305868839267673
"cv",6,102.381292431169,-3.99748791484568,0.696051813486193
"cv",7,102.07316262969,-1.66112386340814,0.807330442222812
"cv",8,105.890936127866,-1.66021939265018,0.217770169897005
"cv",9,102.073162629518,-2.78542227485105,0.807330442116706
