"","","","par1","par2"
"cv",2,103.972087442517,3.99999999893044,3.99999999906257
"cv",3,103.972091397542,3.99999999816087,3.99999999970021
"cv",4,103.972095146789,3.99999999910321,3.99999999992244
"cv",5,103.972086930511,3.99999999612229,3.99999999974547
"cv",6,103.972105590378,3.99999999838208,3.99999999134259
"cv",7,103.972091717785,3.99999999945632,3.99999999998728
"cv",8,103.972087044316,3.99999999964593,3.99999999975335
"cv",9,103.972095472785,3.99999999918518,3.99999999999384
