"","","","par1","par2"
"cv",2,105.303045250913,-4.99999999998864,0.492543693465928
"cv",3,101.346724045158,-4.99999999999898,0.715061455463633
"cv",4,102.701318157128,-4.99999999995155,0.631093713147789
"cv",5,100.423768110664,-4.99999999999318,0.788975182043535
"cv",6,100.423767849424,-4.99999999999275,0.788975066427799
"cv",7,100.423768040232,-4.99999999998988,0.788975150872678
"cv",8,109.529606967938,-4.99999999999564,0.333718595745874
"cv",9,102.592934885662,-4.99999999999833,0.635321074095792
