"","","","par1","par2","par3"
"cv",2,121.513985362897,-4.99993706261915,-1.45306310189092,-4.96629355514375
"cv",3,98.8468985034705,-4.99999989018803,-1.54870479329552,-2.56931090408347
"cv",4,99.279208608964,-4.99999966686753,-1.56094305074492,-2.57985878581805
"cv",5,99.1520963144271,-4.99999508813772,-1.3777636068568,-2.19063050641183
"cv",6,98.610475707995,-4.99999934891343,-1.53578502948589,-2.50721615478473
"cv",7,98.3960186079902,-4.99999641525319,-1.53066809595783,-2.52245841791479
"cv",8,99.1512912478272,-4.99999830569814,-1.56347321758724,-2.6758648222967
"cv",9,98.3113021918008,-4.99999976348334,-1.53010822464716,-2.54231634260798
