"","","","par1","par2"
"cv",2,97.2143974135399,0.266125269313158,-2.01603757002007
"cv",3,93.7549876168705,0.273745190227875,-1.9654827841056
"cv",4,85.5188664664765,0.279562077191371,-1.92806080260126
"cv",5,97.9663108209412,0.263555849419378,-2.04611885934519
"cv",6,78.5352666464851,0.279814167354715,-1.93309695979708
"cv",7,102.702726206533,0.267635317348456,-2.02958522436256
"cv",8,80.0151781773267,0.269566774815906,-1.94481162050719
"cv",9,95.9779271509102,0.338830904266251,-2.04783874105602
