"","","","par1","par2","par3"
"cv",2,103.391881180054,1.89070572149183,-1.1737054849888,-4.99469667852934
"cv",3,101.106585391869,1.93183006675464,-1.16280228326428,-4.99770790625544
"cv",4,98.4333472445626,1.92469912894199,-1.15659505940016,-4.99982857771609
"cv",5,99.2559253153595,1.91961297859329,-1.15959578208833,-4.99999902837266
"cv",6,86.495821816162,-4.99999972759128,-1.72978217723907,-2.85528922267131
"cv",7,99.9010421344044,1.91151972700326,-1.16193383870463,-4.98491429652159
"cv",8,98.667101057355,1.91873756292319,-1.15381362680661,-4.99999523045069
"cv",9,85.5274486246223,1.9299220709563,-1.13503311909856,-4.99918609991798
