"","","","par1","par2","par3"
"cv",2,98.0411177847677,0.237706763978646,1.2662992523908,-3.48143162907539
"cv",3,98.0411177847677,-3.3709462177337,2.69245564585525,-2.65117624646568
"cv",4,98.0411177847677,-0.146490674609637,3.24615791737222,-4.52201069508321
"cv",5,98.0411177847677,-3.14530535138017,2.51118224402104,-1.83036230779754
"cv",6,98.0411177847677,0.21616853288756,2.04543096269481,-2.56114662012053
"cv",7,98.0411177847677,-3.22958388998419,1.74558308383252,-3.3721495846051
"cv",8,98.0411177847677,0.0962213065616508,3.22320932252859,-4.24842012380816
"cv",9,98.0411177847677,1.72141347868298,2.07250140389908,-4.37837347293498
