"","","","par1","par2","par3"
"cv",2,100.296198238476,-4.99992605886691,-2.18963149926236,-2.30331260929005
"cv",3,99.7209306353003,-4.99999947460222,-2.15558394987788,-2.30801676219886
"cv",4,107.058578509274,1.38578876777809,-1.36442108728492,-3.7197832771197
"cv",5,99.9799717672456,-4.99999973459508,-2.17608388353637,-2.38176818388428
"cv",6,93.5451132564481,-4.9999999046912,-2.16481271027407,-2.21669634695021
"cv",7,104.167498567359,-4.99998588804133,-2.15188690964283,-2.36928531217126
"cv",8,100.135783192794,-4.99983279274251,-2.05133963082346,-2.42254453072217
"cv",9,97.9660731845614,-4.99999983615153,-2.12551510556717,-2.39103681710855
