"","","","par1","par2","par3"
"cv",2,90.5653910013566,-0.541325640066811,-1.10847347948601,-3.66571837699033
"cv",3,100.411160569241,0.239489924173723,-4.9999997936193,-2.48979414279834
"cv",4,51.9289354323407,-0.449873385762068,-1.31039591559023,-3.27724768007771
"cv",5,98.1288846205314,-0.401883024007052,-1.35007892006044,-3.34021287478289
"cv",6,96.9238233252842,-0.438687594981802,-1.28455423063682,-3.47598451353531
"cv",7,42.8118612315855,-0.469620382499573,-1.2686109310115,-3.46989844684251
"cv",8,68.2857573935318,-0.475996540106074,-1.31524482288895,-3.40407366493784
"cv",9,31.5041169206313,-0.429618261001605,-1.26409883652967,-3.36384107064737
