"","","","par1","par2","par3"
"cv",2,98.186233706727,-4.94691483759331,3.09078848299294,2.53950437410679
"cv",3,98.1844043969558,-4.99663751560023,3.0129981791765,2.45743881732627
"cv",4,98.1861778937425,-4.99634661097547,3.10906615556275,2.55275139155089
"cv",5,98.1869420857318,-4.97067394587782,3.01225500924545,2.4591765255601
"cv",6,98.1857972288575,-4.98844277835451,2.8828027543817,2.32976274768865
"cv",7,105.890481603608,-3.12561870739845,2.94107384170399,-0.639884291941191
"cv",8,98.1864725018649,-4.9999041630513,3.10797382668718,2.55495304252316
"cv",9,98.1823475669374,-0.683405646997042,3.22981401552746,2.26366442849857
