"","","","par1","par2"
"cv",2,53.8439931458207,-0.305667582355442,-3.22509326272281
"cv",3,36.7251945319667,-0.204879857394001,-3.23712165974769
"cv",4,50.5932019567009,-0.228194525905613,-3.25236852255898
"cv",5,33.010230729099,-0.188598272582404,-3.25415610108723
"cv",6,43.2148651227586,-0.101834984182753,-3.16021407992294
"cv",7,56.157690978688,-0.226076951481783,-3.06608243214761
"cv",8,22.2259663498718,-0.201651206760416,-3.17685375309177
"cv",9,28.2775559887089,-0.189645083162471,-3.12795513153584
