"","","","par1","par2"
"cv",2,50.5575788973592,0.0879294247218466,-2.46459180702071
"cv",3,65.3917486869455,0.10915950107142,-2.44846026051918
"cv",4,98.2425627624489,0.1027388502231,-2.4965689163833
"cv",5,44.715780878641,0.103731418555813,-2.43300958507934
"cv",6,82.3863039949299,0.0897974957992565,-2.46256819356561
"cv",7,98.7675638731036,0.103790182490453,-2.47598607009483
"cv",8,38.6401463452376,0.0993154402591125,-2.44106686827762
"cv",9,30.8404249651847,0.0918340501716361,-2.40850517597401
