"","","","par1","par2"
"cv",2,98.0411177847677,-0.491628936426178,-3.27966695553591
"cv",3,98.0411177847677,-0.796929470408096,-3.86853940809568
"cv",4,98.0411177847677,-0.138201510982268,-3.91958600797413
"cv",5,98.0411177847677,-1.95856729364956,-4.77156559084141
"cv",6,98.0411177847677,-2.2399495231447,-4.25704985328232
"cv",7,98.0411177847677,0.617364192324378,-4.99207196078685
"cv",8,98.0411177847677,-2.00058367067999,-4.66424704745419
"cv",9,98.0411177847677,-2.44605797319673,-2.9778250972307
