"","","","par1","par2","par3"
"cv",2,75.0998829284962,-0.727466043164393,-0.920576513919012,-3.98661835797204
"cv",3,112.665170150452,-0.819034040640563,-0.840738780941611,-4.44041682262591
"cv",4,76.5796801949072,-0.748732713462466,-0.889095858693115,-4.06703883181335
"cv",5,37.0627511707174,-0.737900078225088,-0.925753224179639,-3.86261675914654
"cv",6,50.6881117468165,-0.800963617089216,-0.847167226794694,-4.19460828348349
"cv",7,87.9625967132662,-0.752726310850343,-0.891988500740626,-4.08089609743544
"cv",8,57.7118886239995,-0.766186124987699,-0.890874473464372,-4.07471447266903
"cv",9,43.0655544510654,-0.735290909719508,-0.896051333173336,-3.96222769054845
