"","","","par1","par2"
"cv",2,103.981203128586,3.99999999994151,3.99999999872837
"cv",3,103.976511498098,3.99999999983362,3.99999999977218
"cv",4,103.978996168368,3.99999999985577,3.99999999995394
"cv",5,103.975972577794,3.99999999935066,3.99999999953082
"cv",6,103.980434994068,3.99999999979235,3.9999999998412
"cv",7,103.972858681028,3.99999999985447,3.99999999993891
"cv",8,103.975972577789,3.99999999973607,3.9999999999612
"cv",9,103.98043488054,3.99999999988442,3.99999999984629
