"","","","par1","par2"
"cv",2,103.97708335974,3.99999999977945,3.99999999783987
"cv",3,103.973775749788,3.99999999994867,3.99999999987656
"cv",4,103.974148493827,3.99999999972312,3.99999999933661
"cv",5,103.977688156808,3.99999999957729,3.99999999889033
"cv",6,103.978325785891,3.99999999997866,3.99999999957923
"cv",7,103.977722488105,3.99999999946535,3.99999999999185
"cv",8,103.975972577797,3.99999999885261,3.99999999974186
"cv",9,103.975972577813,3.99999999665428,3.9999999998943
