"","","","par1","par2"
"cv",2,99.2447166407087,-1.81568841494254,-0.561932162400294
"cv",3,99.2447164886077,-1.65686135994036,-0.561932237993297
"cv",4,117.763696874104,-1.79263458387132,-1.1704625161034
"cv",5,99.2447165855281,-4.27554295419834,-0.561932189823757
"cv",6,100.961360477753,-1.63949558206794,-0.640759051307622
"cv",7,99.2447166199288,-1.660620809798,-0.561932172729845
"cv",8,101.158029181959,-3.22952718185182,-0.644659748979855
"cv",9,99.2447166085203,-1.76396303250994,-0.561932178397199
